"code","iso","country","WTL.raw.1997","WTL.raw.1998","WTL.raw.1999","WTL.raw.2000","WTL.raw.2001","WTL.raw.2002","WTL.raw.2003","WTL.raw.2004","WTL.raw.2005","WTL.raw.2006","WTL.raw.2007","WTL.raw.2008","WTL.raw.2009","WTL.raw.2010","WTL.raw.2011","WTL.raw.2012","WTL.raw.2013","WTL.raw.2014","WTL.raw.2015","WTL.raw.2016","WTL.raw.2017","WTL.raw.2018","WTL.raw.2019","WTL.raw.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",0,0,0.000496825042664624,0.00177823874877564,0.00177823874877564,0.00177823874877564,0.00356891989933663,0.00410264791208557,0.00282123420597456,0.00410066701957348,0.00410066701957348,0.00282455047381962,0.00205111613856499,0.00205111613856499,0.000771683324966075,0.000771683324966075,0.000764201825271601,0.000507083105112659,0.000507083105112659,0.000507083105112659,0.00206635244472519,0.00233350738146965,0.0026016058152028,0.00260160757756271
12,"DZA","Algeria",0.00303258647314584,0.00303258647314584,0.0037918037846153,0.00227748762916988,0.00151846205595854,0.000759217311469451,0.000759217311469451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,"AGO","Angola",0.000944704432543274,0.0015111293024146,0.00244640142308914,0.00217379388330948,0.00177560325857141,0.00154424955199759,0.000992079525901975,5.68074052274385e-05,1.42548437757093e-05,1.42548437757093e-05,1.42548437757093e-05,0,0,0,0.000191968064274446,0.000191968064274446,0.000191968064274446,0.000191968064274446,0.000191968064274446,0,0,0,0,0
660,"AIA","Anguilla",0,0,0,0,0,0,0.00416584638532872,0.00416584638532872,0.00416584638532872,0.00416584638532872,0.00416584638532872,0,0,0,0,0,0,0,0,0,0,0,0,1.33946725790292e-08
28,"ATG","Antigua and Barbuda",0.000690272057538643,0.000690313338855769,0.000690313338855769,0.0130839745008046,0.0130839745008046,0.0144652797867387,0.013774966447883,0.0220600341035989,0.0096663729416501,0.0096663729416501,0.00828506765571596,0.0110378800995067,0.0172122974960356,0.0172122974960356,0.0172122974960356,0.0172122974960356,0.0144594850522448,0,0,0,0,0,0,0
32,"ARG","Argentina",0.00036503130334228,0.0003628104639747,0.000361490945245672,0.000136834847404208,0,0,0,0,0,0,0,0,0,0.00146146476247831,0.00146146476247831,0.00146146476247831,0.00178522204978297,0.00261538083531974,0.00115596170447427,0.00115596170447427,0.00143251275322048,0.00110875546591582,0.000678065482250619,0.000676019850617775
51,"ARM","Armenia",0,0,0.00738140871345036,0.00738140871345036,0.00738140871345036,0.0275596771601052,0.0338750427211306,0.0264936340076802,0.0296615741087248,0.0296615741087248,0.0105362504993837,0.00422088493835834,0.00633202269701043,0.00316408259596589,0.00316408259596589,0.0021111377586521,0.0021111377586521,0,0,0,0,0,0,6.41871500194198e-09
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181844774478893,0.0181844774478893,0.0181844774478893,0.0181844774478893,0.0363687606909995,0.0181842832431102,0.0181842832431102,0.0181842832431102,0.0181842832431102,0
