"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015","GL5.raw.2016","GL5.raw.2017","GL5.raw.2018","GL5.raw.2019","GL5.raw.2020"
4,"AFG","Afghanistan",11.3420999999798,13.1069999999891,12.8680999999924,12.8680999999924,2.32620000001043,2.32620000001043,0,0,0,0,0,0,0,17.2956000000122,17.2956000000122,22.4625000000233,29.8102000000363,380.599400000036,368.556000000011,368.556000000011,579.458099999989,1390.9117,1040.1225,1034.87030000001
8,"ALB","Albania",0.0730180000000473,0.0730180000000473,0,2.46368200000006,3.21655600000008,3.21655600000008,3.7224940000001,4.52190599999994,2.05822399999988,1.59382099999993,2.39514599999984,9.54689599999983,10.3955450000001,10.3955450000001,10.107074,9.30574900000011,1.6480610000001,0,1.03012899999999,18.4344859999999,22.874732,35.8440509999998,42.1045649999999,49.392836
12,"DZA","Algeria",0.0775820600000046,0.0775820600000046,0.0775820600000046,0,0,0,0.313932630000011,0.313932630000011,0.313932630000011,0.313932630000011,0.313932630000011,0,0.157526009999998,0.157526009999998,0.157526009999998,0.157526009999998,0.157526009999998,0,0.155237350000007,0.155237350000007,0.155237350000007,0.155237350000007,0.232844750000012,0.0776074000000051
20,"AND","Andorra",0,0,0,0,0,0,0.0713816900000097,0.0713816900000097,0.0713816900000097,0.0713816900000097,0.214094189999997,0.142712499999988,0.214167279999998,0.214167279999998,1.14312702999999,1.00041453,1.00041453,0.92895974999999,0.92895974999999,0,0,0,0,0
24,"AGO","Angola",63.0629999999946,61.5419999999867,59.8220999999903,59.8220999999903,0,0,212.723100000003,601.419200000004,668.53330000001,803.570900000021,945.729500000016,1030.34040000002,1715.58660000001,2116.9632,2279.69589999999,2722.76689999999,2609.48069999999,1615.09839999999,1150.21849999999,1064.0724,613.633499999996,492.099799999996,637.420100000018,976.825500000006
660,"AIA","Anguilla",0.09207593,0.184153329999994,0.276245409999994,0.46040902,0.46040902,0.36833309,0.276255690000006,0.184163610000006,0,0,0,0,0,0,0,0,0.0920803399999954,0.184160669999997,0.184160669999997,0.184160669999997,0.184160669999997,0.0920803300000017,0,0
28,"ATG","Antigua and Barbuda",0.555912599999999,0.648596400000002,0.648596299999994,0.833905700000003,0.833891899999998,0.648596400000002,2.6870887,3.706312,3.52100259999999,3.70624289999999,3.9841641,2.49952499999999,2.68231950000001,2.86760390000001,2.68235680000001,2.49706669999999,2.40611650000001,1.11145380000001,1.1114635,1.018795,0.926163900000006,0.185294099999993,0.185294099999993,0
32,"ARG","Argentina",0.915210000006482,0.510139999998501,0,0,0,0,0,0,0,0,0,0,0,0,31.1050799999939,79.2650999999896,82.2097099999955,82.2097099999955,82.976999999999,142.485260000001,129.782770000005,126.838159999999,126.838159999999,142.004369999995
51,"ARM","Armenia",0,0,0,0,0,0,0,0,9.65093999999999,21.7712819999997,25.112674,36.17247,36.17247,26.52153,14.9807450000003,41.2141189999998,30.5955490000001,31.4149400000001,31.7113890000001,57.2985209999997,29.046918,36.0359039999998,52.2483429999997,65.5281529999997
533,"ABW","Aruba",0,0.0946249399999992,0.0946249399999992,0.0946249399999992,0.0946249399999992,0.0946249399999992,0,0,0,0,0,0,0.0946269900000019,0.0946269900000019,0.378512010000001,0.66243463,3.6910094,8.13919399,8.51773443,8.23384941,10.50501587,8.138984433,3.974720442,3.596180002
36,"AUS","Australia",6313.41500000004,9189.00600000005,9187.36800000002,5977.27300000004,2877.071,2877.071,0,0,2578.75200000009,5188.6810000001,6956.2350000001,9695.28300000005,9695.28300000005,9234.09199999995,6624.16299999994,4856.60899999994,2117.56099999999,2117.56099999999,2.04000000003725,2.04000000003725,2.04000000003725,2.04000000003725,2.04000000003725,0
40,"AUT","Austria",4.39225999999871,2.42513999999937,0,0,0,0,0,0,0,0.837659999999232,0.837659999999232,0.837659999999232,0.837659999999232,0.837659999999232,0,0,0,0,0,0,0,0,0,0
31,"AZE","Azerbaijan",0.219077000000198,0.0726549999999406,0,0,0,0,0,0,0,1.2884640000002,1.2884640000002,1.2884640000002,1.2884640000002,1.2884640000002,0,4.24083299999984,4.24083299999984,6.78759499999978,7.08050999999978,50.652454,52.2227889999999,63.6322230000001,66.7598069999999,72.9594339999999
44,"BHS","Bahamas",1.16644999999994,1.78520800000001,8.10750299999995,7.57443699999999,9.81560599999989,9.5340369999999,9.65287699999976,3.2427439999999,3.2427439999999,1.70706399999995,1.70706399999995,0.881632999999965,1.23054100000013,1.23054100000013,0.348908000000165,0.348908000000165,0.348908000000165,0,0,0,0.447239000000081,0.447239000000081,0.447239000000081,0.447239000000081
48,"BHR","Bahrain",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,"BGD","Bangladesh",343.964606,381.893753,416.652554,166.318141,240.747811,252.815228,265.0498387,239.8609977,205.7574139,115.668706,72.01812,21.6768733,11.8409113,10.6272341,0,0,0,2.14834300000007,2.14834300000007,4.78707400000008,4.78707400000008,4.78707400000008,3.3309559999999,4.21602399999995
