"code","iso","country","CDA.raw.1999","CDA.raw.2000","CDA.raw.2001","CDA.raw.2002","CDA.raw.2003","CDA.raw.2004","CDA.raw.2005","CDA.raw.2006","CDA.raw.2007","CDA.raw.2008","CDA.raw.2009","CDA.raw.2010","CDA.raw.2011","CDA.raw.2012","CDA.raw.2013","CDA.raw.2014","CDA.raw.2015","CDA.raw.2016","CDA.raw.2017","CDA.raw.2018","CDA.raw.2019"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.324986252539547,0.343221727391913,0.323829815627733,0.249457433994553,0.176927423201928,0.0920262070860893,0.0146558190430917,-0.0443362273700154,-0.0514529717579472
8,"ALB","Albania",-0.0888443677442406,-0.0314404754663873,0.0284847036278371,0.0622242656974739,0.0947645206166079,0.107623446890316,0.115327322273111,0.105330024588869,0.0684040085235773,0.0367657291545713,0.0291084432402176,0.0204436224726026,0.018362540210962,0.0171929010630949,0.0243536978349759,0.0354170975545143,0.0325827319799277,0.0226342429936597,0.019513645296263,0.0147841759907963,0.0117359850326491
12,"DZA","Algeria",0.0242643191830108,0.0159269414198979,0.00563434108009297,-0.000287925283886148,-0.00399711184081559,-0.00940530147254208,0.00462988777106443,0.0138766114877387,0.0157749682953392,0.0279920188759479,0.0333039875596965,0.0346527844838582,0.0315881321862912,0.0337709817433671,0.0359269881213438,0.0358583300371196,0.0456424879589958,0.0482045026216265,0.0484615075944479,0.0478062411732272,0.0473093836935325
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0.0726605241638865,0.0637615604435726,0.0515804562271585,0.0373554616349694,0.0265317651230248,-0.0145479252359772,-0.0167076276881551,-0.00164768881801871,-4.3653736439754e-05,0.00638742195427722,0.0201908602089393,0.0327886611031249,0.0436362886707686,0.0539866084658001,0.0649216346853747,0.0855678710651724,0.0761807927455962,0.0685983401604922,0.0546684280276333,0.0351667842511367,0.0167302402756055
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.0324273019394969,0.0410418345186396,0.0446067200595113,0.0489361195127116,0.0534750194246558,0.0540782674868074,0.0514631825977103,0.0484878828033306,0.047654086229018,0.0464335316719351,0.0459323227385124,0.0437551270552643,0.0356393494559795,0.0315049544981651,0.0282028935857797,0.0242012191472436,0.0209280696653591,0.0178102602245123,0.0164629397309066,0.0160211488128386,0.0190859794100056
32,"ARG","Argentina",0.0323191487254071,0.0309473585322526,0.0260269777708662,0.0182283802031633,0.012065260220721,0.0133920866420596,0.0167738891277467,0.0238122354545904,0.030024779460087,0.0380357487430214,0.0430076811541618,0.0459350691427025,0.042740894539679,0.0312676590607082,0.0210612979936238,0.0163307285026799,0.0114890506609453,0.00892627518658839,0.0044876106459586,0.00348473008989103,-0.00268696054171778
51,"ARM","Armenia",-0.0239080996241604,-0.0158641045088925,-0.00614846546626556,0.0226347761776067,0.0170374171011567,0.0149463543917516,0.0334943307859608,0.0314349889781431,0.0463586403341387,0.0635569895969323,0.0534478470118216,0.0466469343476612,0.0467841828783253,0.0416497035471985,0.0329299506673635,0.0235803819982872,0.0156789430876851,0.00756624480345569,0.0113462570508787,0.0322114252954389,0.0315798462152947
533,"ABW","Aruba",0.0598184827580206,0.113990765557055,0.156252015844337,0.180238158866581,0.201009484985421,0.204602147309668,0.196478865291713,0.170903274805413,0.133612269518433,0.0808640567730365,0.0155286966792598,0.00785214200451212,0.000206313564553806,-0.00482715431012974,-0.0208854098258403,-0.0472335238309491,-0.0805374706729607,-0.125664064409916,-0.173072174712329,-9999,-9999
36,"AUS","Australia",0.0243905563274145,0.0260037795330414,0.0240469689998386,0.0237461647711761,0.0221404063442743,0.0189667033297702,0.0152848447211527,0.0158586189159275,0.0161999090351648,0.0184669807479299,0.0210915765910435,0.0220546035736968,0.0199259047274005,0.0180433423355204,0.0119109375205497,0.00444006683161979,-0.00234793517662828,-0.00882855054518049,-0.0151562603157916,-0.0176594976568314,-0.0142687088620728
40,"AUT","Austria",0.0107221387005987,0.0105767982806513,0.0163133293303395,0.0164658153399047,0.0186625130743381,0.0180314645187341,0.0190029002875463,0.0203545089363595,0.0178984062886391,0.0147902214279181,0.00331860076789448,-0.00334051711090025,-0.0135692499497532,-0.029915885971912,-0.0334117393060293,-0.0394659420495308,-0.0345447855772714,-0.0268124133147745,-0.015123139121742,-0.00808648533397864,-0.00655066950501956
31,"AZE","Azerbaijan",-0.0262925109635264,-0.0400452406884064,-0.062090305425716,-0.0711753966796143,-0.0427714578902682,-0.0068840325573637,0.00722761291242402,0.0156573400444839,0.0121658763112833,0.0181913831797429,0.00986409398017818,0.000652717263424307,-0.0072807544611282,-0.0109210772632657,-0.00772720588228826,-0.000588203025277512,0.00914097392598845,0.0192869070057835,0.0184625443503268,0.0254489139708141,0.0258985021945555
44,"BHS","Bahamas",-0.00125531762252099,0.00546877023914516,0.00940896255026469,0.0149710074193667,0.0178081352879809,0.0191621658374459,0.0142678858295882,0.00688417319617773,-0.012759814676921,0.00452699732517625,-0.00673022480793356,0.00940140152576063,0.00319608770321733,0.00243258526548296,0.0259799758820596,0.0343759702155759,0.0267649408220463,0.00913089834294611,-0.00264759049626708,0.00473097040103365,-0.0126859708751244
