"code","iso","country","GRL.raw.1997","GRL.raw.1998","GRL.raw.1999","GRL.raw.2000","GRL.raw.2001","GRL.raw.2002","GRL.raw.2003","GRL.raw.2004","GRL.raw.2005","GRL.raw.2006","GRL.raw.2007","GRL.raw.2008","GRL.raw.2009","GRL.raw.2010","GRL.raw.2011","GRL.raw.2012","GRL.raw.2013","GRL.raw.2014","GRL.raw.2015","GRL.raw.2016","GRL.raw.2017","GRL.raw.2018","GRL.raw.2019","GRL.raw.2020"
4,"AFG","Afghanistan",1.00187474286242e-05,1.15777256898725e-05,1.13666996223303e-05,1.13666996223303e-05,2.05478793773743e-06,2.05478793773743e-06,0,0,0,0,0,0,0,1.52776159641463e-05,1.52776159641463e-05,1.98416619599638e-05,2.63320606058551e-05,0.000336192526965295,0.000325554304521272,0.000325554304521272,0.000511849159272155,0.0012286254765734,0.00091876501021396,0.000914125616693835
8,"ALB","Albania",9.9183285761953e-06,9.9183285761953e-06,0,0.000334651833564912,0.000436917736608954,0.000436917736608954,0.000505641329739141,0.000614228676472093,0.000279576842907181,0.000216495115856765,0.000325342313072707,0.00129679327577723,0.00141206868222299,0.00141206868222299,0.00137288450622936,0.00126403730901342,0.000223862753178715,0,0.000139926564653384,0.00250403036622686,0.00310716683650966,0.0048688415913839,0.00571923238417241,0.00670922754331549
12,"DZA","Algeria",0.000242407483671752,0.000242407483671752,0.000242407483671752,0,0,0,0.000980891959826191,0.000980891959826191,0.000980891959826191,0.000980891959826191,0.000980891959826191,0,0.000492194763801689,0.000492194763801689,0.000492194763801689,0.000492194763801689,0.000492194763801689,0,0.00048504377668459,0.00048504377668459,0.00048504377668459,0.00048504377668459,0.000727530435949724,0.000242486659265134
20,"AND","Andorra",0,0,0,0,0,0,0.000174728330640415,0.000174728330640415,0.000174728330640415,0.000174728330640415,0.000524060447693326,0.000349332117052913,0.000524239357630688,0.000524239357630688,0.00279815002505274,0.00244881790799982,0.00244881790799982,0.00227391066742204,0.00227391066742204,0,0,0,0,0
24,"AGO","Angola",7.95355985928525e-05,7.76173002965398e-05,7.54481476076482e-05,7.54481476076482e-05,0,0,0.000268288205334807,0.000758515073454148,0.000843159954248298,0.00101347053808579,0.00119276218843739,0.00129947418404465,0.00216371259167641,0.00266993221557895,0.0028751720980002,0.00343397705818504,0.00329109952731416,0.00203697600860043,0.00145066547595389,0.00134201727288807,0.000773919853783217,0.000620640504898689,0.000803919718513577,0.00123198073138401
660,"AIA","Anguilla",0.000564992242705713,0.00112999350556027,0.00169508484718054,0.00282514143242147,0.00282514143242147,0.00226014918971576,0.00169514792686121,0.00113005658524094,0,0,0,0,0,0,0,0,0.000565019303152322,0.00113003854494312,0.00113003854494312,0.00113003854494312,0.00113003854494312,0.000565019241790803,0,0
28,"ATG","Antigua and Barbuda",0.000875562357439551,0.00102153934451352,0.00102153918701351,0.00131340149616016,0.00131337976115984,0.00102153934451352,0.00423216476262848,0.00583744148293545,0.0055455791737888,0.00583733265043389,0.00627505854665289,0.00393675193093139,0.00422465327252178,0.00451647620666785,0.00422471202002261,0.00393288010837638,0.00378963354134123,0.00175053975987081,0.00175055503737101,0.00160460214779738,0.00145870816322461,0.00029183821164628,0.00029183821164628,0
32,"ARG","Argentina",2.36542743760881e-06,1.31849428328981e-06,0,0,0,0,0,0,0,0,0,0,0,0,8.03933629226971e-05,0.000204866470409473,0.000212477031140914,0.000212477031140914,0.000214460148478572,0.000368263615406782,0.000335433097414486,0.000327822536683045,0.000327822536683045,0.00036702071989594
51,"ARM","Armenia",0,0,0,0,0,0,0,0,0.000642803107382743,0.00145008131034964,0.00167263550305875,0.00240927579258695,0.00240927579258695,0.0017664726852042,0.000997796011259908,0.00274507599894332,0.00203782366995143,0.0020923993984257,0.00211214445314374,0.00381638134184185,0.0019346767413632,0.00240017978233686,0.0034800130594532,0.00436451789871781
533,"ABW","Aruba",0,0.000884780777732364,0.000884780777732364,0.000884780777732364,0.000884780777732364,0.000884780777732364,0,0,0,0,0,0,0.00088479994604673,0.00088479994604673,0.00353923765329568,0.00619402693548081,0.0345124041035006,0.0761046970131431,0.0796442004982323,0.0769897627909833,0.0982260713882567,0.0761027375719488,0.0371652150473386,0.0336257115622495
