"code","iso","country","PAR.raw.2000","PAR.raw.2005","PAR.raw.2010","PAR.raw.2011","PAR.raw.2012","PAR.raw.2013","PAR.raw.2014","PAR.raw.2015","PAR.raw.2016","PAR.raw.2020"
4,"AFG","Afghanistan",0.0369217333333333,0.0393684,0.0426911333333333,0.0426911333333333,0.0442239333333333,0.0442239333333333,0.0446494,0.0446494,0.0446302333333333,0.0452027
8,"ALB","Albania",0.0884631666666667,0.104281666666667,0.127084,0.127084,0.130314333333333,0.130314333333333,0.137608333333333,0.137608333333333,0.138578666666667,0.145301
12,"DZA","Algeria",0.0377451,0.0415920333333333,0.0419374666666667,0.0419374666666667,0.0502654333333333,0.0502654333333333,0.0503712,0.0503712,0.050379,0.0532553
20,"AND","Andorra",0.252118333333333,0.273453333333333,0.307814,0.307814,0.310449,0.310449,0.314362666666667,0.314362666666667,0.316379333333333,0.316379333333333
24,"AGO","Angola",0.0997783,0.1016578,0.111142266666667,0.111142266666667,0.113482666666667,0.113482666666667,0.113804,0.113804,0.113975,0.115177
660,"AIA","Anguilla",0.091208,0.101910333333333,0.128865666666667,0.128865666666667,0.130092,0.130092,0.130244333333333,0.130244333333333,0.130245666666667,0.130245666666667
28,"ATG","Antigua and Barbuda",0.122617666666667,0.139403,0.179306666666667,0.179306666666667,0.180616333333333,0.180616333333333,0.180789,0.180789,0.180790333333333,0.180790333333333
32,"ARG","Argentina",0.0519112666666667,0.0598203,0.0734425666666667,0.0734425666666667,0.0750908666666667,0.0750908666666667,0.0757778333333333,0.0757778333333333,0.0757793,0.0787923
51,"ARM","Armenia",0.0661534,0.0714020333333333,0.0808573666666667,0.0808573666666667,0.0827303,0.0827303,0.0835554666666667,0.0835554666666667,0.0836598666666667,0.0750055
533,"ABW","Aruba",0.0601728333333333,0.0640102333333333,0.0730717333333333,0.0730717333333333,0.0743233,0.0743233,0.0744598666666667,0.0744598666666667,0.0744611,0.0744611
36,"AUS","Australia",0.0599682,0.0857975333333333,0.0991681,0.0991681,0.120842666666667,0.120842666666667,0.143517333333333,0.143517333333333,0.143519666666667,0.158584
40,"AUT","Austria",0.151152,0.171146333333333,0.199602,0.199602,0.204765333333333,0.204765333333333,0.208066,0.208066,0.208521,0.22707
31,"AZE","Azerbaijan",0.0454477333333333,0.0519782,0.0617633,0.0617633,0.0631152,0.0631152,0.0635826333333333,0.0635826333333333,0.0631647,0.0609459
44,"BHS","Bahamas",0.0928457666666667,0.1174661,0.172583,0.172583,0.174261333333333,0.174261333333333,0.17499,0.17499,0.174991333333333,0.221756
48,"BHR","Bahrain",0.0306155,0.0323010666666667,0.0344122333333333,0.0344122333333333,0.0361735333333333,0.0361735333333333,0.0362467,0.0362467,0.0362394333333333,0.0362394333333333
50,"BGD","Bangladesh",0.0373403333333333,0.02769464,0.0430836333333333,0.0430836333333333,0.0433275666666667,0.0433275666666667,0.0435491666666667,0.0435491666666667,0.0437548333333333,0.0329854
52,"BRB","Barbados",0.129812266666667,0.140886,0.169199666666667,0.169199666666667,0.171237,0.171237,0.171536,0.171536,0.171537,0.171537
112,"BLR","Belarus",0.091282,0.0966153,0.105877666666667,0.105877666666667,0.107319333333333,0.107319333333333,0.107711666666667,0.107711666666667,0.107432,0.106945
56,"BEL","Belgium",0.137624,0.156218666666667,0.183390666666667,0.183390666666667,0.186098333333333,0.186098333333333,0.18766,0.18766,0.187519333333333,0.199468
84,"BLZ","Belize",0.269601666666667,0.280345,0.300150333333333,0.300150333333333,0.305691,0.305691,0.306226333333333,0.306226333333333,0.306228,0.30103
204,"BEN","Benin",0.152599,0.109355233333333,0.157916666666667,0.157916666666667,0.158853666666667,0.158853666666667,0.158976666666667,0.158976666666667,0.159097666666667,0.182002
60,"BMU","Bermuda",0.0469035,0.0452090333333333,0.0505203666666667,0.0505203666666667,0.0507528666666667,0.0507528666666667,0.0509814666666667,0.0509814666666667,0.0581658333333333,0.0581658333333333
64,"BTN","Bhutan",0.133727,0.114175366666667,0.172052666666667,0.172052666666667,0.172558333333333,0.172558333333333,0.172797666666667,0.172797666666667,0.172161333333333,0.136136
68,"BOL","Bolivia",0.124489,0.139947333333333,0.169127666666667,0.169127666666667,0.171279,0.171279,0.171647333333333,0.171647333333333,0.171649,0.206646
70,"BIH","Bosnia and Herzegovina",0.0869356666666667,0.1079968,0.127661,0.127661,0.131684333333333,0.131684333333333,0.146553666666667,0.146553666666667,0.147532,0.161457
72,"BWA","Botswana",0.175868,0.191683,0.217888666666667,0.217888666666667,0.226209666666667,0.226209666666667,0.226735666666667,0.226735666666667,0.228070333333333,0.230073
76,"BRA","Brazil",0.0924090666666667,0.1191664,0.171958,0.171958,0.174475666666667,0.174475666666667,0.175243666666667,0.175243666666667,0.175245,0.175245
92,"VGB","British Virgin Islands",0.1002246,0.108942666666667,0.132639666666667,0.132639666666667,0.133799,0.133799,0.134021333333333,0.134021333333333,0.134022666666667,0.134022666666667
96,"BRN","Brunei Darussalam",0.0568782333333333,0.0432729666666667,0.063488,0.063488,0.0637835666666667,0.0637835666666667,0.0641072333333333,0.0641072333333333,0.0659604333333333,0.0896135
100,"BGR","Bulgaria",0.0609199,0.0859140333333333,0.127790666666667,0.127790666666667,0.131342,0.131342,0.134047666666667,0.134047666666667,0.133998333333333,0.147861
854,"BFA","Burkina Faso",0.120132666666667,0.0926015,0.127207666666667,0.127207666666667,0.128510666666667,0.128510666666667,0.128581,0.128581,0.128703333333333,0.154841
