"code","iso","country","CDL.raw.2001","CDL.raw.2002","CDL.raw.2003","CDL.raw.2004","CDL.raw.2005","CDL.raw.2006","CDL.raw.2007","CDL.raw.2008","CDL.raw.2009","CDL.raw.2010","CDL.raw.2011","CDL.raw.2012","CDL.raw.2013","CDL.raw.2014","CDL.raw.2015","CDL.raw.2016","CDL.raw.2017"
470,"MLT","Malta",0.174,0.174,0.009,0.973,0.118,0.051,0.289,0.127,0.246,0.055,0.179,0.23,0.158,-0.027,-0.074,-0.055,-0.041
584,"MHL","Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,"MRT","Mauritania",7.656,0.401,1.212,1.265,0.304,0.136,0.171,0.232,0.276,0.385,0.182,4.351,33.595,40.862,3.1,0.012,0.45
480,"MUS","Mauritius",59.044,58.619,45.941,130.037,63.393,51.591,42.22,68.317,95.619,1.558,204.606,70.24,391.727,406.613,-11.925,-12.594,-13.277
484,"MEX","Mexico",86395.403,88110.223,85404.941,93673.65,120693.53,97795.58,123698.451,100531.358,151128.442,89147.584,101573.491,92520.184,127195.439,101563.315,115100.128,164027.88,182611.157
583,"FSM","Micronesia",-0.137,-0.222,-0.303,-0.417,-0.522,-0.62,-0.718,-0.822,-0.916,54.884,-1.112,-1.298,-1.443,-1.547,-1.636,-1.72,-1.812
498,"MDA","Moldova",52.348,82.155,26.688,94.753,24.893,46.906,74.975,32.106,51.769,42.193,45.507,685.175,39.279,123.29,148.739,326.277,432.906
492,"MCO","Monaco",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
496,"MNG","Mongolia",8371.452,7613.644,18082.84,22769.477,3064.752,6284.283,14697.511,19651.824,26353.887,3493.082,1791.276,16923.152,322.046,184.37,1908.347,1547.832,8285.563
499,"MNE","Montenegro",328.904,65.33,57.047,337.659,51.411,49.104,448.092,532.028,177.613,48.306,148.291,529.442,1082.685,615.926,34.774,414.639,539.709
504,"MAR","Morocco",617.522,1435.261,693.767,678.36,745.792,898.549,911.78,1268.288,455.387,381.277,1374.175,1225.797,1690.954,3418.321,2396.699,4439.13,3888.148
508,"MOZ","Mozambique",27934.032,49389.515,37409.867,51044.734,64938.412,72890.428,62553.64,95101.264,95885.395,83807.653,67629.325,60778.919,78510.071,91558.985,80943.25,108181.238,168094.936
104,"MMR","Myanmar",21950.877,31329.684,35091.954,49871.046,46198.848,62328.173,72183.935,58670.833,100828.684,82133.721,68552.283,115760.65,132152.982,182890.603,153966.445,197547.612,187943.318
516,"NAM","Namibia",564.62,200.683,511.024,257.132,239.26,108.712,439.616,171.043,382.104,119.854,217.509,172.945,260.362,279.315,61.76,58.483,367.591
520,"NRU","Nauru",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
524,"NPL","Nepal",730.408,971.537,1037.36,1618.481,1431.187,1644.223,1844.772,1761.216,3213.675,1469.553,1305.492,2516.778,562.788,674.465,326.509,649.827,1515.714
528,"NLD","Netherlands",266.818,298.941,108.56,465.431,536.573,528.914,582.484,399.818,563.776,1200.832,364.07,315.633,190.614,310.352,301.734,535.333,585.945
540,"NCL","New Caledonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
554,"NZL","New Zealand",30766.128,36926.647,26277.389,35594.69,29794.377,35337.17,35707.848,33811.973,32384.488,29763.059,31310.945,35649.837,46340.25,47331.134,33327.331,44956.032,43399.563
558,"NIC","Nicaragua",27484.098,35484.908,29849.831,13214.622,61820.342,25475.562,58673.905,35751.247,55217.849,138269.396,29190.431,22124.503,30998.291,54115.616,25384.216,103592.075,149281.153
562,"NER","Niger",1.627,2.004,1.145,1.555,1.003,0.631,0.822,0.487,0.705,0.28,0.656,7.281,57.408,19.486,6.148,0.743,1.037
566,"NGA","Nigeria",50063.919,40098.975,22306.221,19484.987,25656.752,31068.376,55930.171,44411.078,47350.765,38844.74,78233.254,81584.617,95931.394,122914.222,78685.564,98721.885,262119.603
570,"NIU","Niue",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
408,"PRK","North Korea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
807,"MKD","North Macedonia",804.358,348.36,340.092,881.093,507.498,789.772,1611.224,1566.597,1664.984,814.65,824.882,1250.517,472.165,683.62,248.955,568.941,516.639
578,"NOR","Norway",4665.859,5489.775,2982.099,7084.997,5177.316,8178.198,6597.406,6904.847,4738.283,8030.817,6537.462,5929.911,6742.988,7909.885,7491.554,12610.978,12128.471
512,"OMN","Oman",1.007,0.302,0.064,0.711,1.041,0.942,1.487,4.48,0.872,0.453,3.33,5.358,4.402,2.039,-0.002,-0.002,-0.001
586,"PAK","Pakistan",62.636,100.921,192.336,357.692,322.593,429.344,374.805,349.665,310.158,236.879,150.654,85.257,57.261,40.724,-5.962,-7.431,72.503
585,"PLW","Palau",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
591,"PAN","Panama",10953.65,11519.574,6724.455,10284.701,7488.178,19247.74,12144.155,23428.138,22127.847,9145.919,13419.373,10603.492,8459.997,8606.242,6063.624,10270.982,20298.553
598,"PNG","Papua New Guinea",23115.454,34291.423,19833.028,37232.089,23895.408,35203.97,30693.588,45541.298,29496.002,42883.737,32923.161,45609.013,36179.639,67686.074,115920.301,108869.309,75376.807
