"code","iso","country","WL5.raw.1997","WL5.raw.1998","WL5.raw.1999","WL5.raw.2000","WL5.raw.2001","WL5.raw.2002","WL5.raw.2003","WL5.raw.2004","WL5.raw.2005","WL5.raw.2006","WL5.raw.2007","WL5.raw.2008","WL5.raw.2009","WL5.raw.2010","WL5.raw.2011","WL5.raw.2012","WL5.raw.2013","WL5.raw.2014","WL5.raw.2015","WL5.raw.2016","WL5.raw.2017","WL5.raw.2018","WL5.raw.2019","WL5.raw.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",0,0,0.140954479999998,0.504505000000002,0.504505000000002,0.504505000000002,1.01254004,1.16396428,0.800413759999998,1.16340228,1.16340228,0.801354619999998,0.581923179999997,0.581923179999997,0.218934659999995,0.218934659999995,0.216812080000004,0.143864800000003,0.143864800000003,0.143864800000003,0.586245880000007,0.66204054,0.73810288,0.738103380000005
12,"DZA","Algeria",0.310631790000002,0.310631790000002,0.388399410000002,0.233286030000002,0.155538050000001,0.0777676199999995,0.0777676199999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",32.6147619999992,52.1698859999997,84.4590089999992,75.047568,61.3005249999997,53.313322,34.2503289999995,1.96120599999995,0.492130999999972,0.492130999999972,0.492130999999972,0,0,0,6.62746199999947,6.62746199999947,6.62746199999947,6.62746199999947,6.62746199999947,0,0,0,0,0
660,"AIA","Anguilla",0,0,0,0,0,0,0.0920582809999999,0.0920582809999999,0.0920582809999999,0.0920582809999999,0.0920582809999999,0,0,0,0,0,0,0,0,0,0,0,0,2.96000000510332e-07
28,"ATG","Antigua and Barbuda",0.0926353000000013,0.0926408399999978,0.0926408399999978,1.75588435,1.75588435,1.9412571,1.84861626,2.96048182,1.29723831,1.29723831,1.11186556,1.48129614,2.30991002,2.30991002,2.30991002,2.30991002,1.94047944,0,0,0,0,0,0,0
32,"ARG","Argentina",157.089870000011,156.134140000009,155.566290000002,58.8863700000074,0,0,0,0,0,0,0,0,0,628.935949999999,628.935949999999,628.935949999999,768.263699999996,1125.51946,497.463839999997,497.463839999997,616.476559999996,477.148809999999,291.80296999999,290.92263999999
51,"ARM","Armenia",0,0,0.517492039999999,0.517492039999999,0.517492039999999,1.9321398,2.37489423,1.85740219,2.07949852,2.07949852,0.73867008,0.29591565,0.443922219999999,0.22182589,0.22182589,0.14800657,0.14800657,0,0,0,0,0,0,4.49999999929673e-07
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094665573,0.094665573,0.094665573,0.094665573,0.189330135,0.0946645620000001,0.0946645620000001,0.0946645620000001,0.0946645620000001,0
36,"AUS","Australia",471.968200000003,549.407200000001,748.869200000001,628.515100000004,529.153399999996,388.239400000006,310.066500000001,109.940100000007,0,0,0,0,0,0,0,1.48649999999907,2.76630000000296,2.76630000000296,2.94620000000577,2.94620000000577,1.45970000000671,0.179900000002817,49.9469000000099,68.7521279999928
40,"AUT","Austria",2.60202960000001,2.60202960000001,2.5376938,1.1026411,0.259362799999991,8.52999999949589e-05,0.0663797999999929,0.0663797999999929,0.0663797999999929,0.19642189999999,1.8866256,4.48583829999998,4.942542,4.942542,4.81241460000001,3.18738250000001,0.521875300000033,0.0651716000000135,0.0651716000000135,0.0651716000000135,0.389057000000008,0.389057000000008,0.389057000000008,0.389057000000008
31,"AZE","Azerbaijan",0,0,0,0.0742591600000004,0.594052120000001,0.594052120000001,0.594052120000001,0.594052120000001,0.51979296,0,0,0,0,0,0,0,0,0,0,0.0734249500000033,0.0734249500000033,0.0734249500000033,0.0734249500000033,0.0734249500000033
44,"BHS","Bahamas",34.3884279999997,40.3803469999998,71.5071229999999,126.951831,164.297121,152.019308,153.998524,128.849992,58.109978,23.389979,23.389979,29.3735900000001,51.810508,52.1519020000001,43.061412,43.3237700000004,29.4557460000005,0.690474000000449,0.524679000000106,0.524679000000106,0.262320999999702,0.533702999999605,0.533702999999605,0.358103999999912
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",1.16126360000004,1.96511710000004,4.1040678,7.2293171,6.2471003,6.06805349999996,5.26419999999996,3.12524930000001,0,0,0,0,0,0,1.1616209,1.25105309999998,1.60826679999997,3.57277619999996,3.57277619999996,3.03507299999995,2.94564079999998,2.67739489999997,3.84150039999997,3.84150039999997
52,"BRB","Barbados",0,0,0,0,0,0.188819074,0.188819074,0.188819074,0.188819074,0.188819074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"BLR","Belarus",0.403678599999978,0.226333899999986,0.107631099999992,0.107631099999992,0.421233799999982,1.29223280000002,1.29223280000002,1.40122610000003,2.78243720000006,4.69411260000004,4.9308489,8.85152930000004,10.0954716,8.84747039999996,6.5145612,5.4068259,1.82710879999996,1.18697470000001,1.11303850000002,2.93763260000003,5.04701310000002,4.70604980000002,3.9932483,4.82589790000003
