"code","iso","country","TCL.raw.2006","TCL.raw.2007","TCL.raw.2008","TCL.raw.2009","TCL.raw.2010","TCL.raw.2011","TCL.raw.2012","TCL.raw.2013","TCL.raw.2014","TCL.raw.2015","TCL.raw.2016","TCL.raw.2017","TCL.raw.2018","TCL.raw.2019","TCL.raw.2020"
4,"AFG","Afghanistan",0.000716704705704449,0.000768751956167775,0.000672394208688374,0.00057955316732136,0.000474051983949753,0.000446621676273136,0.000296106654662976,0.000221552485080374,0.000173725281951913,0.000111831254373903,3.1650355011482e-05,3.51670611238689e-06,2.18035778967987e-05,3.23536962339594e-05,5.97840039105772e-05
8,"ALB","Albania",0.00171984756138045,0.00288942888632169,0.00419524890783306,0.00368561526510776,0.00367472679228246,0.00374191663678976,0.00381654251151921,0.00306869032917712,0.00300999880492371,0.00291864186219443,0.00287136995578218,0.00191291877464845,0.00178225710074493,0.00179659801617337,0.00204065915096469
12,"DZA","Algeria",0.0030114936538043,0.00332448953287971,0.00391723780432405,0.00478241363208334,0.00451702918735874,0.00493229104672612,0.00579704428778999,0.00573675525257655,0.00571787971351439,0.00622413857462916,0.00625188843429516,0.0114856246570885,0.0112916573638901,0.0107942728233792,0.0119111694593778
20,"AND","Andorra",0.000334177215189873,0.000344303797468354,0.00039493670886076,0.000192405063291139,0.000182278481012658,0.000121518987341772,0.000182278481012658,0.000162025316455696,0.000141772151898734,0.000151898734177215,0.000151898734177215,0.000111392405063291,0.000232911392405063,0.00030379746835443,0.000567088607594937
24,"AGO","Angola",0.00120319926345238,0.00151032666206618,0.00170346960381369,0.00205702859838385,0.0022599601832457,0.00264028248683284,0.00275028717928449,0.00299564936218891,0.00314145980094414,0.00318233428683372,0.00335464109918788,0.00375930002617332,0.00401868541859667,0.00390939963175956,0.0042495997219989
660,"AIA","Anguilla",0.00116686114352392,0.00186697782963827,0.00264488525865422,0.00210035005834306,0.00178918708673668,0.00178918708673668,0.00124465188642552,0.000544535200311163,0.000388953714507974,0.000388953714507974,0.000311162971606379,0.000233372228704784,7.77907429015947e-05,7.77907429015947e-05,7.77907429015947e-05
28,"ATG","Antigua and Barbuda",0.00180847909872517,0.0019962446882103,0.00228283427216128,0.00263860065223836,0.00222353987548177,0.00187765589485127,0.00183812629706493,0.00160094871034687,0.0012352999308232,0.00113647593635735,0.00102776954244491,0.00143294791975492,0.00284613104061666,0.00283624864117008,0.00289554303784959
32,"ARG","Argentina",0.00726355802714877,0.00882958039118828,0.0104929873696465,0.00986758683742241,0.0100773174303309,0.0109684591319747,0.0112241694970318,0.010176243753685,0.0098532411872972,0.00872519021258203,0.0074197942288841,0.00623752164179978,0.00523553203732982,0.00476282371554617,0.00485572864739791
51,"ARM","Armenia",0.000498298458965877,0.000432306070460856,0.000273476932025044,0.000340587835589471,0.000373584029841982,0.000398191361148939,0.000479283702955956,0.000439576418347003,0.000347298925945914,0.00025725846366364,0.000176725379386327,9.28367499307919e-05,7.214422133176e-05,5.08924352030245e-05,6.03998132079851e-05
533,"ABW","Aruba",0.00363636363636364,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",0.00578268928557873,0.00603745174489906,0.00517915234456584,0.00555664396493133,0.00612802086316924,0.00572616343714657,0.00466214014652253,0.00477142124118352,0.00510836540661216,0.00477607123575991,0.00618986039853482,0.00670241341355438,0.00681260708520628,0.0128245274147461,0.0221152248745259
40,"AUT","Austria",0.00336346329283559,0.00430466799319982,0.00486715426946733,0.00492551267337177,0.00470158663325433,0.00495077565970124,0.00402138751745885,0.00315044832745901,0.00287912023234704,0.00248192994727823,0.00244353745192449,0.00277349559595521,0.00361966981548512,0.0046976930547161,0.00551416741934973
31,"AZE","Azerbaijan",0.000516867254905347,0.000423048365651926,0.000340884890554222,0.000309515998135134,0.00035383535072724,0.000299011735994797,0.000312681666177427,0.000266779479564174,0.000261311507491122,0.00018461600446647,0.000166629254226167,9.07971152130495e-05,7.89978070554107e-05,3.20883624287005e-05,3.16566804229333e-05
44,"BHS","Bahamas",0.00248118213133911,0.00242504126658673,0.00344900182152697,0.00359301534415265,0.00295105676024495,0.00270452513676708,0.00255929116055982,0.00235547541243703,0.00246958782231416,0.00292237610107797,0.00450652484996049,0.00671554583260869,0.0063036427488276,0.00671554583260869,0.00777978135574086
48,"BHR","Bahrain",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
50,"BGD","Bangladesh",0.00188504402354118,0.00188650190755011,0.00210026415035887,0.00222363758461422,0.00235111131764468,0.00210655127514736,0.00223766971820013,0.00240942667800171,0.00306729683702952,0.00386557944966701,0.00555171342374037,0.00780432645303199,0.00911268623329242,0.0100751630324352,0.0109231048191267
52,"BRB","Barbados",0.00132379248658318,0.00207513416815742,0.00246869409660107,0.00268336314847943,0.0029695885509839,0.00347048300536673,0.00651162790697674,0.00618962432915921,0.0057602862254025,0.00518783542039356,0.00508050089445438,0.00143112701252236,0.00207513416815742,0.00393559928443649,0.00468694096601073
112,"BLR","Belarus",0.00372733328683259,0.00388210824136105,0.00396252466619185,0.00389708233426058,0.00388761154046087,0.00395390709705879,0.00410249617275411,0.00393827175504261,0.00390026059614381,0.00386504374802825,0.00484510026136405,0.00569083788155407,0.00696689936236388,0.0078562367630192,0.00860553866526226
