"code","iso","country","NDA.raw.1999","NDA.raw.2000","NDA.raw.2001","NDA.raw.2002","NDA.raw.2003","NDA.raw.2004","NDA.raw.2005","NDA.raw.2006","NDA.raw.2007","NDA.raw.2008","NDA.raw.2009","NDA.raw.2010","NDA.raw.2011","NDA.raw.2012","NDA.raw.2013","NDA.raw.2014","NDA.raw.2015","NDA.raw.2016","NDA.raw.2017","NDA.raw.2018","NDA.raw.2019"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0317124561772648,0.0362257551725322,0.0399929011493507,0.0427152442584968,0.0392879788526153,0.0345051715454183,0.0270780483519548,0.0140367566468391,0.00761420158031156
8,"ALB","Albania",-0.00250410375803582,0.00672938830245684,0.00296288017859037,0.000856777578092327,0.00062347968942289,0.00831913075265267,0.016891457532161,0.0162925672567777,0.00950670770772932,0.00115576364202208,-0.0110397536983481,-0.0237190527936578,-0.0358280851649693,-0.0297833940092677,-0.0224721544265473,-0.0154734072789894,-0.00414682516906159,0.00332754422464987,0.00740080433499601,0.0025586234575079,-0.00223221412480757
12,"DZA","Algeria",0.000571460611846764,0.00500400486204566,0.0121391349759945,0.0165510050141024,0.0260637491140427,0.0361755282649907,0.0318884169287623,0.024082731452836,0.022360037004395,0.023197361211543,0.0278377572522501,0.0313744784361396,0.036446663108973,0.0380611155025343,0.0395216831762406,0.0466827102001135,0.0441994532103536,0.0350753288772259,0.0318819924613418,0.0238057628798458,0.0205546005662804
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",-0.0186075103824208,-0.0180335821525486,-0.0141543907934547,-0.0015565163451282,0.0130832981229803,0.0259186362590811,0.035695725573677,0.0321654629067236,0.0288931539736306,0.0261842069927907,0.0172984449824822,0.0108382131209293,0.00507161747772011,-0.00119932805954795,0.00248202290473754,0.00485979392916214,0.00864976194041023,0.00725668684611547,0.0100296168112615,0.00293420000574507,0.00262177411200226
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.0296539436425347,0.0295377616563988,0.0295388306701874,0.0288266758741906,0.0284703999448095,0.0281071262305443,0.0272403057496931,0.0261894994768066,0.0236455931065638,0.0212041254412718,0.0237563635296807,0.0126190227407164,0.00641686315425427,0.00189487519086229,0.00206068132871917,0.00379622887815079,0.0052249319096207,0.00622124187704309,-0.00210742196790194,-0.0106185778605391,-0.00379573319877455
32,"ARG","Argentina",0.00726254175144425,0.00932524348469821,0.00965475131966231,0.0102462573502615,0.0145698137484696,0.0190040680789394,0.020942556435215,0.0231853617865696,0.0265853167151267,0.0251458256919077,0.0144840492633165,0.00764193215448983,0.00125081515810055,-0.00820260065812086,-0.0082610787624891,-0.00641015237963369,-0.00656111897581019,0.000128363398366194,0.0113173134078819,0.0198374892663631,0.019542590837563
51,"ARM","Armenia",-0.056544290356748,-0.0622822325901412,-0.0575672354921753,-0.00892668302059734,0.00787817912984679,0.0177589645851799,0.0233027906940315,0.0499345700988916,0.0597243282237288,0.0609959478844468,0.0586307391831382,0.0479189739254458,0.0359237572422406,0.0392730278680671,0.038914267846385,0.0348137373400212,0.0307345481429193,0.0696333180823911,0.0740853793123035,0.0683774909204058,0.065969832215339
533,"ABW","Aruba",0.0726152606733661,0.08497275028326,0.0922030082837924,0.092490018113947,0.0937597698367232,0.0937775901958753,0.0924958476006994,0.0544350163268144,0.0376471647660643,0.0198231146545269,0.0166741695796002,0.00979749750860481,0.000315451849308035,0.000970760018502048,0.00500415504411267,0.0123722432721547,0.0198701143492048,0.0216113193434444,0.0187790536123056,-9999,-9999
36,"AUS","Australia",0.00162128867961209,0.0173631517473287,0.0352257124372795,0.0444543151366676,0.0224648175628477,0.0206704244712643,0.000946773453747385,-0.00794521728006503,-0.0281771960793437,-0.0733729217476479,-0.0776916538615851,-0.0863795124737709,-0.00982991558214172,0.0318347640800003,0.0118545703976842,0.0222128867118594,0.010754779187049,0.00405369699155744,0.0131158444293764,0.00556238446691726,-0.0115694849696253
40,"AUT","Austria",-0.0119723378259329,-0.0110794495048904,-0.00583398576563462,-0.00588144978740877,-0.00641833391856557,-0.0213846423190441,-0.0330035022759985,-0.0405539438992515,-0.0497113428956348,-0.0512490351250988,-0.052539623221598,-0.0475310544927861,-0.0352905521827866,-0.0209990825496442,-0.00574559692978021,-0.000304251288491468,0.00361418839067285,0.00662026636530855,0.00618318274357699,0.00590480373784108,0.00347581799612184
31,"AZE","Azerbaijan",-0.00179224278881344,-0.00108354009623906,-0.000309713798921812,0.0116912877611717,0.0243244842617718,0.0332478147521196,0.0398694840403089,0.0411281535369099,0.0412761210980748,0.0419700878007581,0.0408734081048236,0.0351844571486368,0.0318668222578167,0.029229957775474,0.0261857572742188,0.0245696724282685,0.0280418947043748,0.0285318351298978,0.0255176805340627,0.0284466024622805,0.0278263527531852
44,"BHS","Bahamas",0.0645140005350717,0.0721263988148086,0.0737101565662788,0.0662691047592963,0.0343728833475514,0.0170374997068108,0.0014180591130688,-0.00674899398249938,-0.0144947593368876,0.000202067787288929,-0.00439943037045012,-0.00275143241906666,0.00752237058145822,0.0204158101451091,0.0154602995233566,0.0185379916854467,0.0108631417841083,0.00616467643386009,0.000254512673589335,-0.0061275835836937,-0.0194615690904187
