"code","iso","country","CHA.raw.1999","CHA.raw.2000","CHA.raw.2001","CHA.raw.2002","CHA.raw.2003","CHA.raw.2004","CHA.raw.2005","CHA.raw.2006","CHA.raw.2007","CHA.raw.2008","CHA.raw.2009","CHA.raw.2010","CHA.raw.2011","CHA.raw.2012","CHA.raw.2013","CHA.raw.2014","CHA.raw.2015","CHA.raw.2016","CHA.raw.2017","CHA.raw.2018","CHA.raw.2019"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0428488725812211,0.0452240511540491,0.0452010408937038,0.0426554104596586,0.0348943137515505,0.0246329007079151,0.0126713810414296,0.00498881975669341,-0.000152212509146568
8,"ALB","Albania",-0.00922719205353051,-0.00869631333479705,-0.00456044413626697,-0.019513754206781,-0.0328534637641609,-0.0256353519503697,-0.0170866687049695,-0.011382920562206,-0.0142077165552805,-0.0261994646787312,-0.0374925021379698,-0.041050564817428,-0.0446489928003683,-0.0405299157776992,-0.0315666495541545,-0.0191823751985221,-0.00734108591899058,0.000265327233301083,0.00441525892067518,0.00516404138801541,-6.69732312187716e-05
12,"DZA","Algeria",0.0205848010905028,0.0215555960798974,0.0131913039971399,0.00199775647156031,-0.000736409983000306,-0.00929146995035647,-0.00615293170496163,0.00142622915823098,0.00111528332913058,0.00185455444202565,-0.000542639194566429,0.0047168194816074,0.00328574221343203,-0.000774280983125992,-0.000733923099332039,-0.000624034269084463,0.001113585077269,0.00838576154512705,0.0115078119379113,0.0171528354450834,0.0139341154190409
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0.0958008003192359,0.0895842476303319,0.0728294511961034,0.0464792657211224,0.0213144408671149,0.0136172134498196,0.0090729111741179,0.000451676043844662,-0.00799010412834236,-0.0086650225608521,-0.0104157371579298,-0.00489846536202808,-0.00623192712567693,-0.0070225056785592,-0.00444212301988539,0.00165435723210949,0.0112362967696,0.0106478427967502,0.00844445046144982,0.00438110150466886,0.000337644513465962
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.00761378951250968,0.00685570943604419,0.00647309857968814,0.00566942202556331,0.00510940816892669,0.00553301727346511,0.00584593854987947,0.00496059167339369,0.00354571589979846,0.00156523971365097,-0.000210555962616617,-0.0128703461373497,-0.0252728265011898,-0.0320492788534105,-0.0291144607078511,-0.0147567847260829,-0.00310188128268901,-0.00218888098464858,-0.00241247659830736,-0.00173757203464278,-0.000236241843531996
32,"ARG","Argentina",0.00227402088642803,0.0028364782776118,0.00247380918019169,0.0042818305896728,0.0085562518490121,0.0134286371707881,0.0173706312187603,0.0193962571231934,0.0188744845950179,0.0143453961791391,0.00822389872816465,-0.00182739132706631,-0.0168698076728717,-0.0317604212716785,-0.0348570378621278,-0.0308240872617499,-0.0232358286845701,-0.0119228087108878,-4.03603939636455e-05,0.00682451503420056,0.0097728533306396
51,"ARM","Armenia",-0.0268324178947363,-0.0239014066382679,-0.0119902702143592,0.000684322841283391,0.00420996211244518,0.0097739015582623,0.0134838270300521,0.0182484925190556,0.0185891671041469,0.0165284496572939,0.0112932547231079,0.0051038702384345,-0.00112383986858597,-0.00485202960710922,-0.00302579915523635,6.965162042194e-05,0.00602662635342632,0.0144315820172025,0.016639656651795,0.0160488531995397,0.00994510912943425
533,"ABW","Aruba",0.175078455092633,0.184438491907156,0.173068667047529,0.148132422031008,0.113749362943852,0.0810577634910663,0.0536378281785881,0.0139058230281217,-0.0129187673119724,-0.0426082886301996,-0.0499788085688658,-0.0614717813507902,-0.054174655531193,-0.0436458532266172,-0.022616285530462,-0.0169395039080281,-0.0209931085091748,-0.035826791941384,-0.0660750273570995,-9999,-9999
