"code","iso","country","TBN.raw.1990","TBN.raw.1991","TBN.raw.1992","TBN.raw.1993","TBN.raw.1994","TBN.raw.1995","TBN.raw.1996","TBN.raw.1997","TBN.raw.1998","TBN.raw.1999","TBN.raw.2000","TBN.raw.2001","TBN.raw.2002","TBN.raw.2003","TBN.raw.2004","TBN.raw.2005","TBN.raw.2006","TBN.raw.2007","TBN.raw.2008","TBN.raw.2009","TBN.raw.2010","TBN.raw.2011","TBN.raw.2012","TBN.raw.2013","TBN.raw.2014","TBN.raw.2015","TBN.raw.2016","TBN.raw.2017","TBN.raw.2018","TBN.raw.2019","TBN.raw.2020","TBN.raw.2021","TBN.raw.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,1.66125518350981,1.66151406119664,1.66151406119664,2.36597182048065,3.50344779315595,3.50344779315595
8,"ALB","Albania",0.991655990228353,0.991655990228353,0.991655990228353,0.991655990228353,0.991655990228353,0.991655990228353,1.31899166179847,3.43097638580231,3.55616185958534,3.55616185958534,5.36552971294322,5.36552971294322,5.36552971294322,5.38120796041384,5.60448175456502,6.28709865323156,7.97011790993368,9.82089563190838,11.1470654398728,13.5188457955228,13.5188457955228,13.7930221157575,14.2294288199115,15.1374983160015,15.5117899206986,15.5117899206986,15.5117899206986,15.5117899206986,15.5117899206986,17,17,17,17
12,"DZA","Algeria",0.0705083084176119,0.0705083084176119,0.0705083084176119,0.0705083084176119,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740919207493544,0.0740919207493544,0.907173772312795,0.907173772312795,1.11068368211617,1.17993607412157,1.17993607412157,1.17993607412157,1.17993607412157,1.17993607412157,1.18829231891106,1.18829231891106,1.19253071297555,1.19253071297555,1.19253071297555,1.19253071297555,1.19253071297555,1.19253071297555,1.19253071297555,1.19253071297555,1.20340089864728,1.20340089864728,1.20340089864728
20,"AND","Andorra",5.33676705647596,5.33676705647596,5.33676705647596,5.33676705647596,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
24,"AGO","Angola",5.79824319493889,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723691199,5.07411723693233,5.07411723693233,5.07411723693233,5.07411723693233,5.07411723693233,5.07411723693233,14.8529321651743,14.8529321651743,14.8529321651743,15.0747000703628,15.0747000703628,15.0747000703628,15.0747000703628,15.0747000703628,15.0747000703628,15.0747000707929,15.0747000707929,15.0747000707929,15.0747000707929,15.0747000707929,15.0747000707929,15.0747000707929,15.0747000707929
32,"ARG","Argentina",3.76590642579177,3.86252861823425,3.89244259218728,4.04472580482865,4.17457665812893,4.62651078898917,4.72107361002637,4.80501485898836,5.02763518592854,5.05524674353559,5.42790447874589,5.73063406985636,5.93701123066215,6.00637454967209,6.26965031108434,6.51410099506523,6.65001703844405,6.73249588027667,6.73724662502821,6.77421218946503,6.79096096610924,6.79904339452219,6.80364795394508,6.83128597949406,6.84099138361766,6.8892678315134,7.012710348282,7.01347642689504,7.04831623215718,7.08774320408325,7.09299786183341,7.09299786183341,7.09299786183341
51,"ARM","Armenia",-9999,-9999,7.99178823346243,7.99178823346243,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079
533,"ABW","Aruba",0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115
