"code","iso","country","BHV.raw.2020"
710,"ZAF","South Africa",0.41168
410,"KOR","South Korea",0.416344
728,"SSD","South Sudan",0.470403
724,"ESP","Spain",0.327901
144,"LKA","Sri Lanka",0.351193
275,"PSE","State of Palestine",0.451279
729,"SDN","Sudan",0.472942
740,"SUR","Suriname",0.778915
752,"SWE","Sweden",0.606186
756,"CHE","Switzerland",0.443252
760,"SYR","Syria",0.42427
158,"TWN","Taiwan",0.387549
762,"TJK","Tajikistan",0.473572
834,"TZA","Tanzania",0.456369
764,"THA","Thailand",0.31785
626,"TLS","Timor-Leste",0.363159
768,"TGO","Togo",0.371626
776,"TON","Tonga",0.426161
780,"TTO","Trinidad and Tobago",0.51416
788,"TUN","Tunisia",0.424046
792,"TUR","Turkey",0.373407
795,"TKM","Turkmenistan",0.444726
796,"TCA","Turks and Caicos Islands",0.514337
798,"TUV","Tuvalu",0.507708
800,"UGA","Uganda",0.406735
804,"UKR","Ukraine",0.300596
784,"ARE","United Arab Emirates",0.606738
826,"GBR","United Kingdom",0.367965
840,"USA","United States of America",0.462887
858,"URY","Uruguay",0.290088
860,"UZB","Uzbekistan",0.455778
548,"VUT","Vanuatu",0.632714
862,"VEN","Venezuela",0.567947
704,"VNM","Viet Nam",0.372372
876,"WLF","Wallis and Futuna Islands",0.628152
732,"ESH","Western Sahara",0.720566
887,"YEM","Yemen",0.524488
894,"ZMB","Zambia",0.615013
716,"ZWE","Zimbabwe",0.449104
